X,Y,OBJECTID,PLG_GPSDATE,PoleNum,FixtureType,Address,Predir,Street,StreetType,Height,Wattage,InstallDate,PoleType,Owner,PowerFeed,LampType
-116.328429035187,43.614327896464438,1282244,2001-01-02T00:00:00.000Z,55096B,Shoebox,1053,N,SILVER ASH,DR,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.327604714894065,43.614580180433343,1282245,2001-01-02T00:00:00.000Z,55097B,Shoebox,11660,W,SILVER CITY,DR,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.330158501723417,43.613576197798373,1282246,2001-01-02T00:00:00.000Z,55102B,Shoebox,11865,W,MESQUITE,,25,100,2000-01-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.225627144673012,43.59825729860394,1282247,2000-07-05T00:00:00.000Z,55197B,Shoebox,3517,,WINDSOR,DR,25,100,2000-06-19T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.221264903084332,43.590487942850721,1282248,2000-07-05T00:00:00.000Z,55198B,Shoebox,1503,S,HERVEY,ST,25,100,2000-06-01T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.220273122647711,43.590820196210871,1282249,2000-07-05T00:00:00.000Z,55199B,Shoebox,1501,S,ALLEN,ST,25,100,2000-06-19T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.214699213844341,43.590705016152363,1282250,2000-07-05T00:00:00.000Z,55200B,Shoebox,3,W,JUNIPER,ST,25,100,2000-06-19T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.224560071206213,43.601597039818685,1282251,2000-07-05T00:00:00.000Z,55202B,Shoebox,222,,WALLACE,ST,25,100,2000-06-13T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.226750351014914,43.592595609110617,1282252,2000-07-05T00:00:00.000Z,55203B,Shoebox,1305,S,JOHNSON,ST,25,100,2000-06-19T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.216665975743126,43.602406237546859,1282253,2000-07-05T00:00:00.000Z,55195B,Shoebox,205,S,RUBY,ST,25,100,2000-06-21T00:00:00.000Z,Metal,Boise City,Overhead,High Pressure Sodium
-116.220200635177278,43.580818632889518,1282254,2000-07-05T00:00:00.000Z,55220A,Cobrahead,3114,,CHERRY,LN,25,100,2000-06-21T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.279076727233473,43.680843667814891,1282255,2000-06-23T00:00:00.000Z,55221A,Cobrahead,7070,N,GARY,LN,25,200,2000-06-16T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.210804884777659,43.575426130963507,1282256,2000-06-23T00:00:00.000Z,55205B,Shoebox,2340,W,VICTORY,RD,25,250,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.210615619746079,43.575818989024761,1282257,2000-06-23T00:00:00.000Z,55208B,Shoebox,2330,W,BEDFORD,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.209783877437431,43.57579351151039,1282258,2000-06-23T00:00:00.000Z,55207B,Shoebox,2220,W,BEDFORD,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.209187251815067,43.575793330891692,1282259,2000-06-23T00:00:00.000Z,55206B,Shoebox,2208,W,BEDFORD,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.209183954498855,43.576712816676121,1282260,2000-06-23T00:00:00.000Z,55209B,Shoebox,2207,W,ATLASTA,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.20978780887242,43.576708029345227,1282261,2000-06-23T00:00:00.000Z,55210B,Shoebox,2221,W,ATLASTA,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.210605042596981,43.576707074110551,1282262,2000-06-23T00:00:00.000Z,55211B,Shoebox,2331,W,ATLASTA,ST,25,100,2000-06-13T00:00:00.000Z,Fiberglass,Boise City,Underground,High Pressure Sodium
-116.120571199731074,43.569268291502894,1282263,2000-06-23T00:00:00.000Z,55131C,Cobrahead,5130,E,WARM SPRINGS,AVE,35,80,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.119970622813909,43.569713929750257,1282264,2000-06-23T00:00:00.000Z,55132B,Shoebox,3536,S,MILLSPUR,WAY,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.119070713004774,43.570013725058821,1282265,2000-06-23T00:00:00.000Z,55133B,Shoebox,3512,S,MILLSPUR,WAY,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.118210631559208,43.569932025404455,1282266,2000-06-23T00:00:00.000Z,55136B,Shoebox,3500,S,MILLSPUR,WAY,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.257458767249148,43.611612154977081,1282267,,138C01,Shoebox,6101,W,EMERALD,ST,30,250,2014-06-02T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.118088646702915,43.570602075270138,1282268,2000-06-23T00:00:00.000Z,55135B,Shoebox,3442,S,MILLSPUR,WAY,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.117575495031033,43.571077611633719,1282269,2000-06-23T00:00:00.000Z,55139B,Shoebox,5325,E,SOFTWOOD,DR,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.116983247885798,43.570634721142703,1282270,2000-06-23T00:00:00.000Z,55140B,Shoebox,5354,E,SOFTWOOD,DR,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.117059850734307,43.569884520922656,1282271,2000-06-23T00:00:00.000Z,55141B,Shoebox,5370,E,SOFTWOOD,DR,25,100,2000-04-13T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.116999356819321,43.571726925255582,1282272,2000-06-23T00:00:00.000Z,55144B,Shoebox,5404,E,BRANCHWOOD,CT,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.116231237710267,43.571248117297728,1282273,2000-06-23T00:00:00.000Z,55145B,Shoebox,5440,E,BRANCHWOOD,CT,25,100,2000-04-13T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.115996897616981,43.570657239439456,1282274,2000-06-23T00:00:00.000Z,55146B,Shoebox,5456,E,BRANCHWOOD,CT,25,100,2000-04-13T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.115312980790435,43.571596838337157,1282275,2000-06-23T00:00:00.000Z,55149B,Shoebox,5514,E,QUARTERSAWN,ST,25,100,2000-04-17T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.115186802928122,43.571245064763033,1282276,2000-06-23T00:00:00.000Z,55150B,Shoebox,5521,E,QUARTERSAWN,ST,25,100,2000-04-17T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.114673214280387,43.572138385831792,1282277,,55152B,Shoebox,3272,S,QUARTERSWING,WAY,25,100,2000-05-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.114706311320205,43.573065160237078,1282278,2000-06-23T00:00:00.000Z,55151B,Shoebox,3150,S,QUARTERSWING,PL,25,100,2000-04-17T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.116305327637662,43.572471514312745,1282279,2000-06-23T00:00:00.000Z,55153B,Shoebox,3199,S,MILLSPUR,WAY,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.117091527101138,43.572665043306209,1282280,2000-06-23T00:00:00.000Z,55148B,Shoebox,5391,E,BRANCHWOOD,CT,25,100,2000-04-17T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.11791743432066,43.572839428948576,1282281,2000-06-23T00:00:00.000Z,55147B,Shoebox,5299,E,BRANCHWOOD,CT,25,100,2000-04-17T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.11811829346702,43.572087629657702,1282282,2000-06-23T00:00:00.000Z,55143B,Shoebox,5293,E,BRANCHWOOD,DR,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.118785356291596,43.572485569714658,1282283,2000-06-23T00:00:00.000Z,55142B,Shoebox,5226,E,BRANCHWOOD,DR,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.119655769012837,43.572084295564999,1282284,2000-06-23T00:00:00.000Z,55137B,Shoebox,5149,E,SOFTWOOD,DR,25,100,2000-04-14T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.118798229177287,43.571345797514709,1282285,2000-06-23T00:00:00.000Z,55138B,Shoebox,5243,E,SOFTWOOD,DR,25,100,2000-04-13T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.118988311428737,43.570634086962642,1282286,2000-06-23T00:00:00.000Z,55134B,Shoebox,3447,S,MILLSPUR,WAY,25,100,2000-04-20T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.278252573518131,43.618275715773883,1282287,2000-05-11T00:00:00.000Z,41090B,Shoebox,1500,,OWENS,AVE,25,100,2000-04-26T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.25366894485569,43.623573809314308,1282288,2000-05-11T00:00:00.000Z,50C16,Cobrahead,2093,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.25319251439258,43.626271140108393,1282289,2000-05-10T00:00:00.000Z,51C04,Cobrahead,2314,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253192851198605,43.626445622833657,1282290,2000-05-10T00:00:00.000Z,51C03,Cobrahead,2402,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253027397734527,43.627535811673283,1282291,2000-05-10T00:00:00.000Z,51C14,Shoebox,2511,N,MOUNTAIN VIEW,DR,35,53,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253238423250792,43.627988691643736,1282292,2000-05-10T00:00:00.000Z,51C12,Cobrahead,2517,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253315012234523,43.627495944278465,1282293,2000-05-10T00:00:00.000Z,51C11,Cobrahead,2507,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253324819070983,43.627007973003131,1282294,2000-05-10T00:00:00.000Z,51C10,Cobrahead,2437,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253461093557206,43.626457690683466,1282295,2000-05-10T00:00:00.000Z,51C02,Cobrahead,2401,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253460499567183,43.626271941361956,1282296,2000-05-10T00:00:00.000Z,51C01,Cobrahead,2315,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,M.V.
-116.25333565509294,43.625777282880996,1282297,2000-05-10T00:00:00.000Z,51C06,Cobrahead,2303,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.25333698227999,43.625407981261112,1282298,2000-05-10T00:00:00.000Z,51C07,Cobrahead,2221,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253340474023176,43.625018304367913,1282299,2000-05-10T00:00:00.000Z,51C08,Cobrahead,2211,N,CURTIS,RD,30,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253342967272829,43.624537471620066,1282300,2000-05-10T00:00:00.000Z,50C15,Cobrahead,2147,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253344161102973,43.624049907639716,1282301,2000-05-10T00:00:00.000Z,50C14,Cobrahead,2105,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253349454200233,43.623576197138199,1282302,2000-05-10T00:00:00.000Z,50C13,Cobrahead,2091,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253493203599533,43.623093055247168,1282303,2000-05-10T00:00:00.000Z,50C03,Cobrahead,2061,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253747585000141,43.622875777960004,1282304,2000-05-10T00:00:00.000Z,50C05,Cobrahead,2049,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253460548778818,43.622881368903741,1282305,2000-05-10T00:00:00.000Z,50C04,Cobrahead,2051,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253357385873429,43.622457718471189,1282306,2000-05-10T00:00:00.000Z,50C06,Cobrahead,2015,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253360586847904,43.621980481951745,1282307,2000-05-10T00:00:00.000Z,50C07,Cobrahead,1911,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.25336511206406,43.621502438592785,1282308,2000-05-10T00:00:00.000Z,50C08,Cobrahead,1831,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253366581679245,43.621120003059765,1282309,2000-05-10T00:00:00.000Z,50C09,Cobrahead,1805,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253373605194696,43.620639775451203,1282310,2000-05-10T00:00:00.000Z,50C10,Cobrahead,1721,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.2533955113243,43.620161643101753,1282311,2000-05-10T00:00:00.000Z,50C11,Cobrahead,1701,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253162892811019,43.620457534900368,1282312,2000-05-10T00:00:00.000Z,50C12,Cobrahead,1716,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253199110085106,43.622928326074089,1282313,2000-05-10T00:00:00.000Z,50C01,Cobrahead,2052,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253193901928995,43.623100672475942,1282314,2000-05-10T00:00:00.000Z,50C02,Cobrahead,2062,N,CURTIS,RD,35,80,2000-03-03T00:00:00.000Z,Metal,ACHD,Underground,LED
-116.253172308138801,43.624696957989165,1282315,2000-05-10T00:00:00.000Z,51C09,Cobrahead,5718,W,LUBKIN,ST,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.253161732077274,43.626025537440881,1282316,2000-05-10T00:00:00.000Z,51C05,Shoebox,5717,W,LYNWOOD,PL,35,80,2000-03-03T00:00:00.000Z,Metal,Boise City,Underground,LED
-116.308789638582923,43.628621265645727,1282317,2000-04-21T00:00:00.000Z,29045A,Cobrahead,10166,,GRANGER,AVE,25,100,1999-12-15T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.334276806198375,43.636822863095738,1282318,2000-04-21T00:00:00.000Z,43835A,Cobrahead,12176,W,RAMROD,DR,25,100,1999-12-17T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.266115989181813,43.615597988996775,1282319,2000-04-21T00:00:00.000Z,13996A,Cobrahead,1200,N,ALLUMBAUGH,ST,25,100,1999-12-15T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.266294853684656,43.615008541307795,1282320,2000-04-21T00:00:00.000Z,13995A,Cobrahead,1130,N,ALLUMBAUGH,ST,25,100,1999-12-15T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.202451922866871,43.596365783137955,1282321,2000-04-21T00:00:00.000Z,16961A,Cobrahead,1701,W,BOISE,AVE,25,100,1999-11-26T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.258560394013188,43.667101938228171,1282322,2000-04-21T00:00:00.000Z,32629B,Shoebox,5622,W,KENNCOTT,,25,100,1999-12-22T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.259317516009943,43.667135502116011,1282323,2000-04-21T00:00:00.000Z,51867B,Shoebox,5182,N,YORGASON,AVE,25,100,1999-12-22T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.214790019788879,43.618688293208493,1282324,,0UP48,,212,S,16TH,ST,,150,,Underpass,Boise City,Overhead,High Pressure Sodium
-116.214682007025786,43.61874957581729,1282325,,0UP47,,212,S,16TH,ST,,150,,Underpass,Boise City,Overhead,High Pressure Sodium
-116.173267419490884,43.57390548242271,1282326,,44517A,Cobrahead,3124,S,APPLE,ST,40,200,1997-03-01T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.166540270200855,43.56390015059867,1282327,,44543B,Shoebox,4244,S,RIMVIEW,WAY,25,100,1991-02-01T00:00:00.000Z,Metal,Boise City,Underground,High Pressure Sodium
-116.173465135246204,43.575738662730423,1282328,,14861A,Cobrahead,2906,S,APPLE,ST,40,200,1997-03-01T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.173461638007964,43.576316434280947,1282329,,14862A,Cobrahead,,S,APPLE,ST,40,200,1997-03-01T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.173466202227871,43.576833142670424,1282330,,14847A,Cobrahead,2911,S,APPLE,ST,40,200,1997-03-01T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
-116.173506892372572,43.577524587707536,1282331,,14846A,Cobrahead,2714,S,APPLE,ST,40,200,1997-03-01T00:00:00.000Z,Wood,Idaho Power,Overhead,High Pressure Sodium
